Report_Date_as_MM_DD_YYYY,Market_and_Exchange_Names,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,COT_Index
2022-01-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14951,6734,7019,9019,8858,15340,50.0
2022-01-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14549,9417,9187,9649,8084,11470,100.0
2022-01-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14850,9892,10273,10691,8210,12644,100.0
2022-01-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14605,11035,12293,9536,8385,14415,100.0
2022-02-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13298,12071,8756,10431,13839,8841,6.8
2022-02-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12760,12661,10639,9971,12517,9224,56.1
2022-02-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12673,12123,11673,10670,12256,8354,63.1
2022-02-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12921,13427,11333,11571,13978,10736,37.0
2022-03-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13335,12818,10905,9124,14731,10491,79.5
2022-03-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12158,12480,12359,9221,13234,11886,100.0
2022-03-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,11692,12610,10761,10180,12932,8354,50.2
2022-03-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12652,9799,6209,14098,13691,3209,0.0
2022-03-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14160,9043,6287,17232,14703,2967,0.0
2022-04-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15413,7983,7527,18588,13621,4840,0.0
